Day;Month;Year;Time;Air;Yest
19;01;2017;10;68.0239;56.0414
19;01;2017;11;57.7421;
19;01;2017;12;53.8215;
19;01;2017;13;57.2617;61.6549
19;01;2017;14;66.2304;70.2113
19;01;2017;15;70.6838;62.9253
19;01;2017;16;76.8716;66.3018
19;01;2017;17;79.6591;63.7121
19;01;2017;18;83.2999;57.169
19;01;2017;19;103.258;59.1505
19;01;2017;20;108.322;60.7198
19;01;2017;21;123.737;48.9052
19;01;2017;22;125.563;47.1338
19;01;2017;23;111.854;46.449
20;01;2017;00;113.313;47.1595
20;01;2017;01;120.655;38.5377
20;01;2017;02;117.297;34.5561
20;01;2017;03;124.867;36.5591
20;01;2017;04;122.699;41.4599
20;01;2017;05;122.345;38.6148
20;01;2017;06;128.656;45.0744
20;01;2017;07;128.473;50.7644
20;01;2017;08;132.159;66.0148
20;01;2017;09;121.577;68.0239
20;01;2017;10;100.668;57.7421
20;01;2017;11;82.6948;53.8215
20;01;2017;12;54.0889;57.2617
20;01;2017;13;38.7695;66.2304
20;01;2017;14;28.9673;70.6838
20;01;2017;15;29.587;76.8716
20;01;2017;16;41.2037;79.6591
20;01;2017;17;36.3835;83.2999
20;01;2017;18;33.1403;103.258
20;01;2017;19;42.3862;108.322
20;01;2017;20;39.9607;123.737
20;01;2017;21;36.5123;125.563
20;01;2017;22;38.1256;111.854
20;01;2017;23;36.6623;113.313
21;01;2017;00;34.923;120.655
21;01;2017;01;31.7352;117.297
21;01;2017;02;33.7422;124.867
21;01;2017;03;31.1618;122.699
21;01;2017;04;30.1859;122.345
21;01;2017;05;31.5199;128.656
21;01;2017;06;31.8545;128.473
21;01;2017;07;37.5692;132.159
21;01;2017;08;29.9501;121.577
21;01;2017;09;36.1297;100.668
21;01;2017;10;32.801;82.6948
21;01;2017;11;24.21;54.0889
21;01;2017;12;15.2764;38.7695
21;01;2017;13;12.4447;28.9673
21;01;2017;14;10.946;29.587
21;01;2017;15;13.9931;41.2037
21;01;2017;16;17.4033;36.3835
21;01;2017;17;31.5683;33.1403
21;01;2017;18;55.7129;42.3862
21;01;2017;19;75.3306;39.9607
21;01;2017;20;97.5646;36.5123
21;01;2017;21;108.274;38.1256
21;01;2017;22;124.289;36.6623
21;01;2017;23;115.79;34.923
22;01;2017;00;102.242;31.7352
22;01;2017;01;58.7268;33.7422
22;01;2017;02;43.1761;31.1618
22;01;2017;03;36.6853;30.1859
22;01;2017;04;49.4882;31.5199
22;01;2017;05;44.9817;31.8545
22;01;2017;06;67.1906;37.5692
22;01;2017;07;83.0957;29.9501
22;01;2017;08;94.6121;36.1297
22;01;2017;09;95.9871;32.801
22;01;2017;10;102.09;24.21
22;01;2017;11;122.889;15.2764
22;01;2017;12;100.17;12.4447
22;01;2017;13;108.225;10.946
22;01;2017;14;92.6156;13.9931
22;01;2017;15;75.9842;17.4033
22;01;2017;16;79.4622;31.5683
22;01;2017;17;86.2413;55.7129
22;01;2017;18;84.6412;75.3306
22;01;2017;19;91.9704;97.5646
22;01;2017;20;116.834;108.274
22;01;2017;21;112.753;124.289
22;01;2017;22;127.538;115.79
22;01;2017;23;132.036;102.242
23;01;2017;00;118.409;58.7268
23;01;2017;01;97.8989;43.1761
23;01;2017;02;84.6174;36.6853
23;01;2017;03;71.8962;49.4882
23;01;2017;04;71.6709;44.9817
23;01;2017;05;68.0183;67.1906
23;01;2017;06;63.5995;83.0957
23;01;2017;07;69.1486;94.6121
23;01;2017;08;78.5612;95.9871
23;01;2017;09;81.8412;102.09
23;01;2017;10;92.0258;122.889
23;01;2017;11;78.2259;100.17
23;01;2017;12;44.7891;108.225
23;01;2017;13;36.8737;92.6156
23;01;2017;14;41.5067;75.9842
23;01;2017;15;40.3379;79.4622
23;01;2017;16;46.2852;86.2413
23;01;2017;17;59.3412;84.6412
23;01;2017;18;63.1971;91.9704
23;01;2017;19;79.5727;116.834
23;01;2017;20;83.7939;112.753
23;01;2017;21;69.6885;127.538
23;01;2017;22;74.0347;132.036
23;01;2017;23;67.0502;118.409
24;01;2017;00;57.4786;97.8989
24;01;2017;01;47.207;84.6174
24;01;2017;02;43.6871;71.8962
24;01;2017;03;35.8362;71.6709
24;01;2017;04;30.6539;68.0183
24;01;2017;05;27.3452;63.5995
24;01;2017;06;40.7273;69.1486
24;01;2017;07;48.3422;78.5612
24;01;2017;08;44.5225;81.8412
24;01;2017;09;42.8507;92.0258
24;01;2017;10;49.5651;78.2259
24;01;2017;11;55.048;44.7891
24;01;2017;12;46.6247;36.8737
24;01;2017;13;52.7542;41.5067
24;01;2017;14;53.876;40.3379
24;01;2017;15;46.0727;46.2852
24;01;2017;16;58.3002;59.3412
24;01;2017;17;54.3931;63.1971
24;01;2017;18;54.9621;79.5727
24;01;2017;19;60.037;83.7939
24;01;2017;20;58.9267;69.6885
24;01;2017;21;54.2212;74.0347
24;01;2017;22;53.9954;67.0502
24;01;2017;23;53.6464;57.4786
25;01;2017;00;47.749;47.207
25;01;2017;01;46.6391;43.6871
25;01;2017;02;39.9348;35.8362
25;01;2017;03;33.4609;30.6539
25;01;2017;04;42.1239;27.3452
25;01;2017;05;37.7758;40.7273
25;01;2017;06;36.4403;48.3422
25;01;2017;07;47.2403;44.5225
25;01;2017;08;48.4612;42.8507
25;01;2017;09;48.9847;49.5651
25;01;2017;10;57.4512;55.048
25;01;2017;11;57.4537;46.6247
25;01;2017;12;55.9642;52.7542
25;01;2017;13;52.8698;53.876
25;01;2017;14;50.5802;46.0727
25;01;2017;15;63.9369;58.3002
25;01;2017;16;53.1847;54.3931
25;01;2017;17;58.8276;54.9621
25;01;2017;18;62.5528;60.037
25;01;2017;19;57.8357;58.9267
25;01;2017;20;50.5135;54.2212
25;01;2017;21;51.6651;53.9954
25;01;2017;22;52.7953;53.6464
25;01;2017;23;52.8249;47.749
26;01;2017;00;46.6796;46.6391
26;01;2017;01;45.2059;39.9348
26;01;2017;02;41.2794;33.4609
26;01;2017;03;48.5427;42.1239
26;01;2017;04;50.1085;37.7758
26;01;2017;05;40.3254;36.4403
26;01;2017;06;53.7961;47.2403
26;01;2017;07;66.541;48.4612
26;01;2017;08;67.9397;48.9847
26;01;2017;09;69.0988;57.4512
26;01;2017;10;72.055;57.4537
26;01;2017;11;72.8144;55.9642
26;01;2017;12;50.8544;52.8698
26;01;2017;13;57.3305;50.5802
26;01;2017;14;52.5683;63.9369
26;01;2017;15;80.439;53.1847
26;01;2017;16;87.3967;58.8276
26;01;2017;17;105.32;62.5528
26;01;2017;18;112.152;57.8357
26;01;2017;19;117.501;50.5135
26;01;2017;20;138.532;51.6651
26;01;2017;21;117.979;52.7953
26;01;2017;22;107.958;52.8249
26;01;2017;23;118.751;46.6796
27;01;2017;00;109.403;45.2059
27;01;2017;01;95.3703;41.2794
27;01;2017;02;85.9031;48.5427
27;01;2017;03;84.276;50.1085
27;01;2017;04;75.7679;40.3254
27;01;2017;05;87.0194;53.7961
27;01;2017;06;72.4211;66.541
27;01;2017;07;;67.9397
27;01;2017;08;;69.0988
27;01;2017;09;77.7958;72.055
27;01;2017;10;79.6744;72.8144
27;01;2017;11;68.9522;50.8544
27;01;2017;12;59.6345;57.3305
27;01;2017;13;61.632;52.5683
27;01;2017;14;56.4571;80.439
27;01;2017;15;51.6846;87.3967
27;01;2017;16;47.1989;105.32
27;01;2017;17;58.946;112.152
27;01;2017;18;67.5834;117.501
27;01;2017;19;75.956;138.532
27;01;2017;20;99.9365;117.979
27;01;2017;21;105.678;107.958
27;01;2017;22;111.816;118.751
27;01;2017;23;114.062;109.403
28;01;2017;00;94.9314;95.3703
28;01;2017;01;98.5995;85.9031
28;01;2017;02;95.4336;84.276
28;01;2017;03;96.5453;75.7679
28;01;2017;04;86.6033;87.0194
28;01;2017;05;89.4532;72.4211
28;01;2017;06;67.8489;
28;01;2017;07;55.2444;
28;01;2017;08;52.6943;77.7958
28;01;2017;09;61.5148;79.6744
28;01;2017;10;73.8625;68.9522
28;01;2017;11;67.673;59.6345
28;01;2017;12;67.5233;61.632
28;01;2017;13;75.6056;56.4571
28;01;2017;14;74.0611;51.6846
28;01;2017;15;52.3719;47.1989
28;01;2017;16;58.3057;58.946
28;01;2017;17;68.9558;67.5834
28;01;2017;18;67.236;75.956
28;01;2017;19;78.2892;99.9365
